fold,model,xi,train_size,test_size,test_start_date,test_end_date,accuracy,brier_score,log_likelihood
1,Baseline (No Weighting),,3000,380,2013-04-28,2014-04-27,0.5473684210526316,0.19721888264904008,-3.093074550204778
1,Time-Weighted (ξ=0.003),0.003,3000,380,2013-04-28,2014-04-27,0.5552631578947368,0.19573513614265167,-3.07755797991527
1,"Time-Weighted + DC (ξ=0.003, ρ=-0.040)",0.003,3000,380,2013-04-28,2014-04-27,0.5552631578947368,0.19598775250866793,-3.07755797991527
2,Baseline (No Weighting),,3380,380,2014-04-27,2015-05-09,0.5157894736842106,0.197050894566157,-2.8609491302067025
2,Time-Weighted (ξ=0.003),0.003,3380,380,2014-04-27,2015-05-09,0.5263157894736842,0.19500342916503205,-2.847635277543552
2,"Time-Weighted + DC (ξ=0.003, ρ=-0.040)",0.003,3380,380,2014-04-27,2015-05-09,0.5263157894736842,0.19516293001284804,-2.847635277543552
3,Baseline (No Weighting),,3760,380,2015-05-09,2016-05-02,0.4394736842105263,0.22384987953383062,-3.041380905225514
3,Time-Weighted (ξ=0.003),0.003,3760,380,2015-05-09,2016-05-02,0.4421052631578947,0.22007889566660394,-3.0096443547520364
3,"Time-Weighted + DC (ξ=0.003, ρ=-0.040)",0.003,3760,380,2015-05-09,2016-05-02,0.4421052631578947,0.21996168323459925,-3.0096443547520364
4,Baseline (No Weighting),,4140,380,2016-05-07,2017-05-12,0.5763157894736842,0.1877241644356203,-2.919764991443106
4,Time-Weighted (ξ=0.003),0.003,4140,380,2016-05-07,2017-05-12,0.5526315789473685,0.18968379655750633,-2.920126383102729
4,"Time-Weighted + DC (ξ=0.003, ρ=-0.040)",0.003,4140,380,2016-05-07,2017-05-12,0.5526315789473685,0.1898436469315701,-2.920126383102729
5,Baseline (No Weighting),,4520,380,2017-05-12,2018-05-05,0.5131578947368421,0.2013628111673391,-2.994543951423415
5,Time-Weighted (ξ=0.003),0.003,4520,380,2017-05-12,2018-05-05,0.5210526315789473,0.19760716381674492,-2.9547908723391765
5,"Time-Weighted + DC (ξ=0.003, ρ=-0.040)",0.003,4520,380,2017-05-12,2018-05-05,0.5210526315789473,0.19743109113699991,-2.9547908723391765
