home_avg_xg,away_avg_xg,home_field,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_avg_xg,away_avg_xg,home_field,home_form_goals_scored,home_form_goals_conceded,home_form_xg_for,home_form_xg_against,away_form_goals_scored,away_form_goals_conceded,away_form_xg_for,away_form_xg_against
3.925,3.925,1,Burnley,Manchester City,0,3,0.311032,2.40074,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Arsenal,Nottingham Forest,2,1,0.84262,0.966305,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Bournemouth,West Ham,1,1,1.51025,1.4834,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Brighton,Luton,4,1,4.36748,1.88594,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Everton,Fulham,0,1,2.59001,1.58144,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Sheffield United,Crystal Palace,0,1,0.422704,2.27616,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
5.095,3.978,1,Newcastle United,Aston Villa,5,1,4.32208,1.486,5.095,3.978,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Brentford,Tottenham,2,2,1.90756,1.45316,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Chelsea,Liverpool,1,1,1.93258,1.29994,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Manchester United,Wolverhampton Wanderers,1,0,1.97087,1.72228,3.925,3.925,1,1.4,1.5,3.925,3.925,1.4,1.4,3.925,3.925
3.925,3.925,1,Nottingham Forest,Sheffield United,2,1,1.37181,0.551038,3.925,3.925,1,1.0,2.0,3.925,3.925,0.0,1.0,3.925,3.925
6.063,4.279,1,Liverpool,Bournemouth,3,1,3.25448,1.3867,6.063,4.279,1,1.0,1.0,3.925,3.925,1.0,1.0,3.925,3.925
3.925,3.925,1,Wolverhampton Wanderers,Brighton,1,4,2.68821,3.15562,3.925,3.925,1,0.0,1.0,3.925,3.925,4.0,1.0,3.925,3.925
3.925,3.925,1,Fulham,Brentford,0,3,0.399899,3.46888,3.925,3.925,1,1.0,0.0,3.925,3.925,2.0,2.0,3.925,3.925
