team,opponent,home_away,predicted_lineup,team_xg_sum,team_xg_avg,team_xg_sum_adj,team_xg_avg_adj
Arsenal,Manchester United,A,"['David Raya', 'Jurriën Timber', 'Gabriel', 'William Saliba', 'Myles Lewis-Skelly', 'Martin Odegaard', 'Martín Zubimendi', 'Declan Rice', 'Bukayo Saka', 'Kai Havertz', 'Martinelli']",39.101,3.555,37.146,3.377
Aston Villa,Newcastle United,H,"['Joe Gauci', 'Matthew Cash', 'Ezri Konsa Ngoyo', 'Tyrone Mings', 'Lucas Digne', 'Morgan Rogers', 'Boubacar Kamara', 'Youri Tielemans', 'Jacob Ramsey', 'John McGinn', 'Ollie Watkins']",39.779,3.616,43.757,3.978
Bournemouth,Liverpool,A,"['Neto', 'Adam Smith', 'Illia Zabarnyi', 'Marcos Senesi', 'Adrien Truffert', 'Alex Scott', 'Tyler Adams', 'Marcus Tavernier', 'Justin Kluivert', 'Antoine Semenyo', 'Evanilson']",49.551,4.505,47.073,4.279
Brentford,Nottingham Forest,A,"['Caoimhin Kelleher', 'Michael Kayode', 'Nathan Collins', 'Sepp van den Berg', 'Keane Lewis-Potter', 'Antoni Milambo', 'Ehor Yarmolyuk', 'Mikkel Damsgaard', 'Bryan Mbeumo', 'Yoane Wissa', 'Kevin Schade']",55.549,5.05,52.771,4.797
Brighton,Fulham,H,"['Bart Verbruggen', 'Diego Coppola', 'Jan-Paul van Hecke', 'Olivier Boscagli', 'Ferdi Kadioglu', 'Carlos Baleba', 'Yasin Ayari', 'Maxim De Cuyper', 'Georginio Rutter', 'Danny Welbeck', 'Kaoru Mitoma']",32.075,2.916,35.282,3.207
Burnley,Tottenham,A,"['Max Weiß', 'Kyle Walker', 'Axel Tuanzebe', 'Maxime Esteve', 'Quilindschy Hartman', 'Josh Cullen', 'Josh Laurent', 'Marcus Edwards', 'Hannibal Mejbri', 'Jaidon Anthony', 'Zian Flemming']",0.464,0.042,0.44,0.04
Chelsea,Crystal Palace,H,"['Robert Sanchez', 'Malo Gusto', 'Trevoh Chalobah', 'Levi Colwill', 'Marc Cucurella', 'Reece James', 'Moises Caicedo', 'Cole Palmer', 'Enzo Fernández', 'Pedro Neto', 'João Pedro']",45.525,4.139,50.077,4.552
Crystal Palace,Chelsea,A,"['Dean Henderson', 'Chris Richards', 'Maxence Lacroix', 'Marc Guehi', 'Daniel Muñoz', 'Will Hughes', 'Adam Wharton', 'Tyrick Mitchell', 'Ismaila Sarr', 'Eberechi Eze', 'Jean-Philippe Mateta']",53.908,4.901,51.213,4.656
Everton,Leeds United,A,"['Jordan Pickford', ""Jake O'Brien"", 'James Tarkowski', 'Jarrad Branthwaite', 'Vitaliy Mykolenko', 'Idrissa Gueye', 'James Garner', 'Dwight McNeil', 'Carlos Alcaraz', 'Iliman Ndiaye', 'Beto']",23.823,2.166,22.632,2.057
Fulham,Brighton,A,"['Bernd Leno', 'Kenny Tete', 'Joachim Andersen', 'Calvin Bassey', 'Antonee Robinson', 'Sander Berge', 'Sasa Lukic', 'Ryan Sessegnon', 'Emile Smith-Rowe', 'Alex Iwobi', 'Raúl Jiménez']",33.785,3.071,32.095,2.918
Leeds United,Everton,H,"['Karl Darlow', 'Jayden Bogle', 'Joe Rodon', 'Pascal Struijk', 'Gabriel Gudmundsson', 'Ethan Ampadu', 'Ao Tanaka', 'Daniel James', 'Brenden Aaronson', 'Degnand Wilfried Gnonto', 'Joël Piroe']",0.0,0.0,0.0,0.0
Liverpool,Bournemouth,H,"['Alisson', 'Jeremie Frimpong', 'Ibrahima Konaté', 'Virgil van Dijk', 'Milos Kerkez', 'Dominik Szoboszlai', 'Curtis Jones', 'Alexis Mac Allister', 'Mohamed Salah', 'Luis Díaz', 'Florian Wirtz']",60.632,5.512,66.695,6.063
Manchester City,Wolverhampton Wanderers,A,"['Ederson', 'Matheus Nunes', 'Rúben Dias', 'Joško Gvardiol', 'Rayan Ait Nouri', 'Bernardo Silva', 'Tijjani Reijnders', 'Ilkay Gundogan', 'Savinho', 'Erling Haaland', 'Jéremy Doku']",36.781,3.344,34.942,3.177
Manchester United,Arsenal,H,"['Altay Bayindir', 'Leny Yoro', 'Harry Maguire', 'Lisandro Martínez', 'Dalot', 'Manuel Ugarte', 'Bruno Fernandes', 'Patrick Dorgu', 'Amad Diallo', 'Matheus Cunha', 'Rasmus Højlund']",30.836,2.803,33.92,3.084
Newcastle United,Aston Villa,A,"['Nick Pope', 'Valentino Livramento', 'Fabian Schär', 'Dan Burn', 'Lewis Hall', 'Bruno Guimarães', 'Sandro Tonali', 'Joelinton', 'Jacob Murphy', 'Alexander Isak', 'Anthony Gordon']",58.995,5.363,56.045,5.095
Nottingham Forest,Brentford,H,"['Matz Sels', 'Ola Aina', 'Nikola Milenkovic', 'Murillo', 'Neco Williams', 'Ibrahim Sangaré', 'Elliot Anderson', 'Jota Silva', 'Morgan Gibbs-White', 'Callum Hudson-Odoi', 'Chris Wood']",39.245,3.568,43.17,3.925
Sunderland,West Ham,H,"['Anthony Patterson', 'Trai Hume', 'Danny Ballard', 'Jenson Seelt', 'Reinildo Mandava', 'Patrick Roberts', 'Noah Sadiki', 'Habib Diarra', 'Romaine Mundle', 'Eliezer Mayenda', 'Enzo Le Fée']",0.0,0.0,0.0,0.0
Tottenham,Burnley,H,"['Guglielmo Vicario', 'Pedro Porro', 'Cristian Romero', 'Micky van de Ven', 'Destiny Udogie', 'Lucas Bergvall', 'Rodrigo Bentancur', 'Mohammed Kudus', 'James Maddison', 'Son', 'Dominic Solanke']",31.955,2.905,35.151,3.196
West Ham,Sunderland,A,"['Alphonse Areola', 'Jean-Clair Todibo', 'Konstantinos Mavropanos', 'Max Kilman', 'Aaron Wan-Bissaka', 'Edson Álvarez', 'James Ward-Prowse', 'Oliver Scarles', 'Jarrod Bowen', 'Niclas Füllkrug', 'Lucas Paquetá']",23.871,2.17,22.678,2.062
Wolverhampton Wanderers,Manchester City,H,"['José Sá', 'Matt Doherty', 'Emmanuel Agbadou', 'Toti', 'Nelson Semedo', 'João Gomes', 'André', 'Rodrigo Gomes', 'Marshall Munetsi', 'Jean-Ricner Bellegarde', 'Jørgen Strand Larsen']",23.413,2.128,25.755,2.341
