rho,mean_log_likelihood,std_log_likelihood,n_folds
-0.25,-1.0022514550870336,0.021589212966196224,5
-0.24,-1.0017081285411638,0.0215148294377305,5
-0.23,-1.0011894187332548,0.02144312153719774,5
-0.22,-1.0006954228796354,0.02137408587317808,5
-0.21,-1.0002262460500568,0.021307720459465555,5
-0.2,-0.9997820012227052,0.02124402465595864,5
-0.19,-0.9993628093521384,0.02118299911434787,5
-0.18,-0.9989687994498577,0.021124645728125453,5
-0.17,-0.9986001086773182,0.02106896758651234,5
-0.16,-0.9982568824512489,0.021015968931952785,5
-0.15,-0.997939274561243,0.020965655120879872,5
-0.14,-0.9976474472996246,0.02091803258749691,5
-0.13,-0.9973815716036819,0.0208731088103576,5
-0.12,-0.9971418272103927,0.020830892281559432,5
-0.11,-0.9969284028238377,0.020791392478395728,5
-0.1,-0.9967414962955434,0.020754619837334017,5
-0.09,-0.9965813148180503,0.020720585730213806,5
-0.08,-0.9964480751320515,0.020689302442573675,5
-0.07,-0.9963420037474983,0.020660783154040088,5
-0.06,-0.9962633371791199,0.020635041920720132,5
-0.05,-0.9962123221968582,0.020612093659561667,5
-0.04,-0.9961892160917669,0.020591954134654682,5
-0.03,-0.9961942869579847,0.020574639945458432,5
-0.02,-0.9962278139914471,0.02056016851695458,5
-0.01,-0.996290087806055,0.020548558091733338,5
0.0,-0.9963814107680952,0.020539827724033503,5
